LED - 1cm,,Florescent - Peak Equivalent to LED 90uW/cm^2/nm peak,,Florescent - Peak Equivalent to LED 90uW/cm^2/nm peak,,Florescent - Peak Equivalent to LED 90uW/cm^2/nm peak,,Florescent- 1cm,,Florescent- 1cm,,Florescent- 1cm,
Wavelength,Absolute Irradiance,Wavelength,Absolute Irradiance,Wavelength,Absolute Irradiance,Wavelength,Absolute Irradiance,Wavelength,Absolute Irradiance,Wavelength,Absolute Irradiance,Wavelength,Absolute Irradiance
213.007,0,213.007,0,213.007,0,213.007,0,213.007,0,213.007,0,213.007,0
213.271,0,213.271,0,213.271,0,213.271,0,213.271,0,213.271,0,213.271,0
213.535,0,213.535,0,213.535,0,213.535,0,213.535,0,213.535,0,213.535,0
213.798,0,213.798,0,213.798,0,213.798,0,213.798,0,213.798,0,213.798,0
214.062,0,214.062,0,214.062,0,214.062,0,214.062,0,214.062,0,214.062,0
214.326,0,214.326,0,214.326,0,214.326,0,214.326,0,214.326,0,214.326,0
214.589,0,214.589,0,214.589,0,214.589,0,214.589,0,214.589,0,214.589,0
214.853,0,214.853,0,214.853,0,214.853,0,214.853,0,214.853,0,214.853,0
215.116,0,215.116,0,215.116,0,215.116,0,215.116,0,215.116,0,215.116,0
215.38,0,215.38,0,215.38,0,215.38,0,215.38,0,215.38,0,215.38,0
215.643,0,215.643,0,215.643,0,215.643,0,215.643,0,215.643,0,215.643,0
215.907,0,215.907,0,215.907,0,215.907,0,215.907,0,215.907,0,215.907,0
216.17,0,216.17,0,216.17,0,216.17,0,216.17,0,216.17,0,216.17,0
216.433,0,216.433,0,216.433,0,216.433,0,216.433,0,216.433,0,216.433,0
216.697,0,216.697,0,216.697,0,216.697,0,216.697,0,216.697,0,216.697,0
216.96,0,216.96,0,216.96,0,216.96,0,216.96,0,216.96,0,216.96,0
217.224,0,217.224,0,217.224,0,217.224,0,217.224,0,217.224,0,217.224,0
217.487,0,217.487,0,217.487,0,217.487,0,217.487,0,217.487,0,217.487,0
217.75,0,217.75,0,217.75,0,217.75,0,217.75,0,217.75,0,217.75,0
218.014,0,218.014,0,218.014,0,218.014,0,218.014,0,218.014,0,218.014,0
218.277,0,218.277,0,218.277,0,218.277,0,218.277,0,218.277,0,218.277,0
218.54,0,218.54,0,218.54,0,218.54,0,218.54,0,218.54,0,218.54,0
218.803,0,218.803,0,218.803,0,218.803,0,218.803,0,218.803,0,218.803,0
219.067,0,219.067,0,219.067,0,219.067,0,219.067,0,219.067,0,219.067,0
219.33,0,219.33,0,219.33,0,219.33,0,219.33,0,219.33,0,219.33,0
219.593,0,219.593,0,219.593,0,219.593,0,219.593,0,219.593,0,219.593,0
219.856,0,219.856,0,219.856,0,219.856,0,219.856,0,219.856,0,219.856,0
220.119,0,220.119,0,220.119,0,220.119,0,220.119,0,220.119,0,220.119,0
220.383,0,220.383,0,220.383,0,220.383,0,220.383,0,220.383,0,220.383,0
220.646,0,220.646,0,220.646,0,220.646,0,220.646,0,220.646,0,220.646,0
220.909,0,220.909,0,220.909,0,220.909,0,220.909,0,220.909,0,220.909,0
221.172,0,221.172,0,221.172,0,221.172,0,221.172,0,221.172,0,221.172,0
221.435,0,221.435,0,221.435,0,221.435,0,221.435,0,221.435,0,221.435,0
221.698,0,221.698,0,221.698,0,221.698,0,221.698,0,221.698,0,221.698,0
221.961,0,221.961,0,221.961,0,221.961,0,221.961,0,221.961,0,221.961,0
222.224,0,222.224,0,222.224,0,222.224,0,222.224,0,222.224,0,222.224,0
222.487,0,222.487,0,222.487,0,222.487,0,222.487,0,222.487,0,222.487,0
222.75,0,222.75,0,222.75,0,222.75,0,222.75,0,222.75,0,222.75,0
223.013,0,223.013,0,223.013,0,223.013,0,223.013,0,223.013,0,223.013,0
223.276,0,223.276,0,223.276,0,223.276,0,223.276,0,223.276,0,223.276,0
223.539,0,223.539,0,223.539,0,223.539,0,223.539,0,223.539,0,223.539,0
223.802,0,223.802,0,223.802,0,223.802,0,223.802,0,223.802,0,223.802,0
224.065,0,224.065,0,224.065,0,224.065,0,224.065,0,224.065,0,224.065,0
224.327,0,224.327,0,224.327,0,224.327,0,224.327,0,224.327,0,224.327,0
224.59,0,224.59,0,224.59,0,224.59,0,224.59,0,224.59,0,224.59,0
224.853,0,224.853,0,224.853,0,224.853,0,224.853,0,224.853,0,224.853,0
225.116,0,225.116,0,225.116,0,225.116,0,225.116,0,225.116,0,225.116,0
225.379,0,225.379,0,225.379,0,225.379,0,225.379,0,225.379,0,225.379,0
225.642,0,225.642,0,225.642,0,225.642,0,225.642,0,225.642,0,225.642,0
225.904,0,225.904,0,225.904,0,225.904,0,225.904,0,225.904,0,225.904,0
226.167,0,226.167,0,226.167,0,226.167,0,226.167,0,226.167,0,226.167,0
226.43,0,226.43,0,226.43,0,226.43,0,226.43,0,226.43,0,226.43,0
226.692,0,226.692,0,226.692,0,226.692,0,226.692,0,226.692,0,226.692,0
226.955,0,226.955,0,226.955,0,226.955,0,226.955,0,226.955,0,226.955,0
227.218,0,227.218,0,227.218,0,227.218,0,227.218,0,227.218,0,227.218,0
227.48,0,227.48,0,227.48,0,227.48,0,227.48,0,227.48,0,227.48,0
227.743,0,227.743,0,227.743,0,227.743,0,227.743,0,227.743,0,227.743,0
228.006,0,228.006,0,228.006,0,228.006,0,228.006,0,228.006,0,228.006,0
228.268,0,228.268,0,228.268,0,228.268,0,228.268,0,228.268,0,228.268,0
228.531,0,228.531,0,228.531,0,228.531,0,228.531,0,228.531,0,228.531,0
228.793,0,228.793,0,228.793,0,228.793,0,228.793,0,228.793,0,228.793,0
