Wavelength 1,Absolute Irradiance 1
332.31,0
332.565,0
332.82,0
333.075,0
333.33,0
333.585,0
333.84,0
334.095,0
334.35,0
334.605,0
334.86,0
335.115,0
335.37,0
335.624,0
335.879,0
336.134,0
336.389,0
336.643,0
336.898,0
337.153,0
337.408,0
337.662,0
337.917,0
338.171,0
338.426,0
338.681,0
338.935,0
339.19,0
339.444,0
339.699,0
339.953,0
340.208,0
340.462,0
340.717,0
340.971,0
341.226,0
341.48,0
341.734,0
341.989,0
342.243,0
342.497,0
342.752,0
343.006,0
343.26,0
343.514,0
343.769,0
344.023,0
344.277,0
344.531,0
344.785,0
345.039,0
345.293,0
345.548,0
345.802,0
346.056,0
346.31,0
346.564,0
346.818,0
347.072,0
347.326,0
347.58,0
347.833,0
348.087,0
348.341,0
348.595,0
348.849,0
349.103,0
349.357,0
349.61,0
349.864,0
350.118,0.06
350.372,0.06
350.625,0.06
350.879,0.05
351.133,0.06
351.386,0.05
351.64,0.05
351.894,0.06
352.147,0.05
352.401,0.06
352.654,0.04
352.908,0.05
353.161,0.06
353.415,0.04
353.668,0.04
353.922,0.04
354.175,0.03
354.429,0.04
354.682,0.04
354.935,0.04
355.189,0.04
355.442,0.04
355.696,0.04
355.949,0.04
356.202,0.04
356.455,0.04
356.709,0.04
356.962,0.04
357.215,0.04
357.468,0.04
357.722,0.04
357.975,0.05
358.228,0.05
358.481,0.05
358.734,0.05
358.987,0.05
359.24,0.05
359.493,0.06
359.746,0.06
359.999,0.06
360.252,0.06
360.505,0.07
360.758,0.07
361.011,0.08
361.264,0.08
361.517,0.08
361.77,0.07
362.023,0.07
362.276,0.06
362.529,0.05
362.781,0.05
363.034,0.03
363.287,0.02
363.54,0.03
363.792,0.02
364.045,0.01
364.298,0.02
364.55,0.02
364.803,0.01
365.056,0.02
365.308,0.01
365.561,0.01
365.814,0.01
366.066,0.01
366.319,0.01
366.571,0.01
366.824,0.02
367.076,0.03
367.329,0.02
367.581,0.04
367.834,0.05
368.086,0.06
368.338,0.07
368.591,0.08
368.843,0.08
369.096,0.08
369.348,0.09
369.6,0.09
369.852,0.09
370.105,0.09
370.357,0.1
370.609,0.1
370.861,0.09
371.114,0.09
371.366,0.09
371.618,0.09
371.87,0.09
372.122,0.08
372.374,0.08
372.626,0.09
372.878,0.1
373.13,0.09
373.383,0.08
373.635,0.09
373.887,0.09
374.138,0.08
374.39,0.08
374.642,0.08
374.894,0.08
375.146,0.08
375.398,0.07
375.65,0.07
375.902,0.08
376.154,0.08
376.405,0.08
376.657,0.09
376.909,0.09
377.161,0.08
377.412,0.08
377.664,0.09
377.916,0.09
378.167,0.08
378.419,0.1
